"","name","Nationality","treated","margin","pre_post"
"154","ONET TECHNOLOGIES","FR",1,7.973,1
"155","ENERTECH","FR",1,3.649,0
"156","ENERTECH","FR",1,5.38,1
"157","INSTITUT DE RECHERCHES INTERNATIONALES SERVIER IRIS","FR",1,-2.433,0
"158","INSTITUT DE RECHERCHES INTERNATIONALES SERVIER IRIS","FR",1,-3.181,1
"159","GROUPE SERVICES FRANCE","FR",1,3.441,0
"160","GROUPE SERVICES FRANCE","FR",1,5.455,1
"161","TRANSGENE","FR",1,23.536,0
"162","TRANSGENE","FR",1,16.045,1
"163","SOC NOUVELLE D'AFFINAGE DES METAUX","FR",1,13.581,0
"164","SOC NOUVELLE D'AFFINAGE DES METAUX","FR",1,10.358,1
"165","LIEBHERR-AEROSPACE TOULOUSE SAS","FR",1,2.595,0
"166","LIEBHERR-AEROSPACE TOULOUSE SAS","FR",1,10.995,1
"167","ROQUETTE FRERES","FR",1,18.333,0
"168","ROQUETTE FRERES","FR",1,17.684,1
"169","SOCIETE D'EXPLOITATION DE PRODUITS POUR LES INDUSTRIES CHIMIQUES SEPPIC","FR",1,24.009,0
"170","SOCIETE D'EXPLOITATION DE PRODUITS POUR LES INDUSTRIES CHIMIQUES SEPPIC","FR",1,26.638,1
"171","ARTUS","FR",1,NA,0
"172","ARTUS","FR",1,-43.189,1
"173","ENEDIS","FR",1,-0.949,0
"174","ENEDIS","FR",1,4.197,1
"175","VCSP ROUTE FRANCE","FR",1,-20.676,0
"176","VCSP ROUTE FRANCE","FR",1,-11.704,1
"177","VIDAL FRANCE","FR",1,9.516,0
"178","VIDAL FRANCE","FR",1,14.952,1
"179","BOUYGUES CONSTRUCTION","FR",1,-3.383,0
"180","BOUYGUES CONSTRUCTION","FR",1,-11.723,1
"181","GINGER CEBTP","FR",1,13.944,0
"182","GINGER CEBTP","FR",1,15.257,1
"183","INEO SYSTRANS","FR",1,12.072,0
"184","INEO SYSTRANS","FR",1,16.965,1
"185","TRANSDEV GROUP","FR",1,-3.35,0
